Customer_ID,Customer_Name,Customer_Segment,Customer_Location
C00001,Customer_00001,Retail,Chandigarh
C00002,Customer_00002,Retail,Surat
C00003,Customer_00003,Online,Indore
C00004,Customer_00004,Online,Mumbai
C00005,Customer_00005,Retail,Patna
C00006,Customer_00006,Online,Chennai
C00007,Customer_00007,Retail,Chandigarh
C00008,Customer_00008,Online,Patna
C00009,Customer_00009,Retail,Kolkata
C00010,Customer_00010,Corporate,Bhopal
C00011,Customer_00011,Retail,Ahmedabad
C00012,Customer_00012,Retail,Jaipur
C00013,Customer_00013,Retail,Patna
C00014,Customer_00014,Retail,Nagpur
C00015,Customer_00015,Online,Jaipur
C00016,Customer_00016,Corporate,Ahmedabad
C00017,Customer_00017,Retail,Patna
C00018,Customer_00018,Wholesale,Guwahati
C00019,Customer_00019,Online,Patna
C00020,Customer_00020,Online,Delhi
C00021,Customer_00021,Online,Delhi
C00022,Customer_00022,Retail,Lucknow
C00023,Customer_00023,Wholesale,Jaipur
C00024,Customer_00024,Online,Bhopal
C00025,Customer_00025,Retail,Chennai
C00026,Customer_00026,Online,Indore
C00027,Customer_00027,Retail,Bhubaneswar
C00028,Customer_00028,Online,Indore
C00029,Customer_00029,Retail,Ahmedabad
C00030,Customer_00030,Online,Lucknow
C00031,Customer_00031,Wholesale,Surat
C00032,Customer_00032,Online,Mumbai
C00033,Customer_00033,Retail,Kolkata
C00034,Customer_00034,Online,Delhi
C00035,Customer_00035,Online,Ahmedabad
C00036,Customer_00036,Online,Kolkata
C00037,Customer_00037,Online,Jaipur
C00038,Customer_00038,Online,Hyderabad
C00039,Customer_00039,Online,Guwahati
C00040,Customer_00040,Retail,Nagpur
C00041,Customer_00041,Online,Delhi
C00042,Customer_00042,Wholesale,Pune
C00043,Customer_00043,Retail,Pune
C00044,Customer_00044,Retail,Bhopal
C00045,Customer_00045,Retail,Indore
C00046,Customer_00046,Online,Ahmedabad
C00047,Customer_00047,Online,Chandigarh
C00048,Customer_00048,Online,Kolkata
C00049,Customer_00049,Wholesale,Indore
C00050,Customer_00050,Wholesale,Raipur
C00051,Customer_00051,Retail,Nagpur
C00052,Customer_00052,Retail,Hyderabad
C00053,Customer_00053,Wholesale,Chandigarh
C00054,Customer_00054,Retail,Chandigarh
C00055,Customer_00055,Retail,Lucknow
C00056,Customer_00056,Online,Delhi
C00057,Customer_00057,Online,Chandigarh
C00058,Customer_00058,Corporate,Pune
C00059,Customer_00059,Corporate,Raipur
C00060,Customer_00060,Online,Ahmedabad
C00061,Customer_00061,Wholesale,Bengaluru
C00062,Customer_00062,Online,Bhubaneswar
C00063,Customer_00063,Online,Bhopal
C00064,Customer_00064,Retail,Kochi
C00065,Customer_00065,Wholesale,Mumbai
C00066,Customer_00066,Online,Guwahati
C00067,Customer_00067,Retail,Hyderabad
C00068,Customer_00068,Online,Bhubaneswar
C00069,Customer_00069,Online,Kochi
C00070,Customer_00070,Retail,Pune
C00071,Customer_00071,Retail,Patna
C00072,Customer_00072,Retail,Hyderabad
C00073,Customer_00073,Retail,Ahmedabad
C00074,Customer_00074,Retail,Bhopal
C00075,Customer_00075,Online,Ahmedabad
C00076,Customer_00076,Retail,Surat
C00077,Customer_00077,Wholesale,Indore
C00078,Customer_00078,Retail,Pune
C00079,Customer_00079,Corporate,Bhopal
C00080,Customer_00080,Retail,Indore
C00081,Customer_00081,Wholesale,Indore
C00082,Customer_00082,Online,Kochi
C00083,Customer_00083,Online,Patna
C00084,Customer_00084,Retail,Chennai
C00085,Customer_00085,Online,Bhopal
C00086,Customer_00086,Wholesale,Patna
C00087,Customer_00087,Wholesale,Bhubaneswar
C00088,Customer_00088,Retail,Indore
C00089,Customer_00089,Retail,Kolkata
C00090,Customer_00090,Online,Kolkata
C00091,Customer_00091,Wholesale,Kochi
C00092,Customer_00092,Wholesale,Patna
C00093,Customer_00093,Online,Indore
C00094,Customer_00094,Online,Lucknow
C00095,Customer_00095,Retail,Delhi
C00096,Customer_00096,Online,Lucknow
C00097,Customer_00097,Retail,Nagpur
C00098,Customer_00098,Online,Jaipur
C00099,Customer_00099,Online,Chennai
C00100,Customer_00100,Corporate,Raipur
C00101,Customer_00101,Retail,Bhopal
C00102,Customer_00102,Retail,Nagpur
C00103,Customer_00103,Retail,Patna
C00104,Customer_00104,Retail,Guwahati
C00105,Customer_00105,Retail,Kolkata
C00106,Customer_00106,Corporate,Pune
C00107,Customer_00107,Retail,Bengaluru
C00108,Customer_00108,Retail,Bhopal
C00109,Customer_00109,Online,Indore
C00110,Customer_00110,Wholesale,Patna
C00111,Customer_00111,Online,Raipur
C00112,Customer_00112,Retail,Indore
C00113,Customer_00113,Wholesale,Lucknow
C00114,Customer_00114,Retail,Indore
C00115,Customer_00115,Retail,Ahmedabad
C00116,Customer_00116,Corporate,Bhubaneswar
C00117,Customer_00117,Retail,Kochi
C00118,Customer_00118,Wholesale,Kochi
C00119,Customer_00119,Wholesale,Chandigarh
C00120,Customer_00120,Retail,Bengaluru
C00121,Customer_00121,Online,Kochi
C00122,Customer_00122,Retail,Kolkata
C00123,Customer_00123,Online,Patna
C00124,Customer_00124,Corporate,Pune
C00125,Customer_00125,Online,Chandigarh
C00126,Customer_00126,Corporate,Kochi
C00127,Customer_00127,Retail,Pune
C00128,Customer_00128,Wholesale,Lucknow
C00129,Customer_00129,Retail,Kochi
C00130,Customer_00130,Online,Kochi
C00131,Customer_00131,Corporate,Bhubaneswar
C00132,Customer_00132,Retail,Raipur
C00133,Customer_00133,Online,Chandigarh
C00134,Customer_00134,Retail,Chennai
C00135,Customer_00135,Online,Jaipur
C00136,Customer_00136,Wholesale,Pune
C00137,Customer_00137,Corporate,Mumbai
C00138,Customer_00138,Online,Nagpur
C00139,Customer_00139,Retail,Bengaluru
C00140,Customer_00140,Retail,Bhubaneswar
C00141,Customer_00141,Retail,Hyderabad
C00142,Customer_00142,Retail,Chandigarh
C00143,Customer_00143,Retail,Mumbai
C00144,Customer_00144,Online,Delhi
C00145,Customer_00145,Online,Nagpur
C00146,Customer_00146,Wholesale,Surat
C00147,Customer_00147,Retail,Kolkata
C00148,Customer_00148,Online,Surat
C00149,Customer_00149,Online,Kochi
C00150,Customer_00150,Retail,Hyderabad
C00151,Customer_00151,Online,Surat
C00152,Customer_00152,Wholesale,Raipur
C00153,Customer_00153,Retail,Kochi
C00154,Customer_00154,Wholesale,Hyderabad
C00155,Customer_00155,Wholesale,Bhubaneswar
C00156,Customer_00156,Retail,Mumbai
C00157,Customer_00157,Corporate,Chennai
C00158,Customer_00158,Online,Raipur
C00159,Customer_00159,Online,Chandigarh
C00160,Customer_00160,Wholesale,Ahmedabad
C00161,Customer_00161,Wholesale,Guwahati
C00162,Customer_00162,Online,Chennai
C00163,Customer_00163,Wholesale,Nagpur
C00164,Customer_00164,Retail,Mumbai
C00165,Customer_00165,Wholesale,Raipur
C00166,Customer_00166,Online,Nagpur
C00167,Customer_00167,Wholesale,Guwahati
C00168,Customer_00168,Retail,Pune
C00169,Customer_00169,Online,Kochi
C00170,Customer_00170,Retail,Guwahati
C00171,Customer_00171,Retail,Kochi
C00172,Customer_00172,Retail,Chandigarh
C00173,Customer_00173,Retail,Raipur
C00174,Customer_00174,Online,Lucknow
C00175,Customer_00175,Wholesale,Indore
C00176,Customer_00176,Retail,Bhubaneswar
C00177,Customer_00177,Online,Bengaluru
C00178,Customer_00178,Online,Kochi
C00179,Customer_00179,Online,Bhubaneswar
C00180,Customer_00180,Retail,Pune
C00181,Customer_00181,Wholesale,Lucknow
C00182,Customer_00182,Corporate,Delhi
C00183,Customer_00183,Online,Bengaluru
C00184,Customer_00184,Retail,Hyderabad
C00185,Customer_00185,Retail,Bengaluru
C00186,Customer_00186,Wholesale,Patna
C00187,Customer_00187,Corporate,Pune
C00188,Customer_00188,Wholesale,Delhi
C00189,Customer_00189,Wholesale,Nagpur
C00190,Customer_00190,Retail,Bhubaneswar
C00191,Customer_00191,Online,Chandigarh
C00192,Customer_00192,Online,Surat
C00193,Customer_00193,Retail,Bhubaneswar
C00194,Customer_00194,Online,Chandigarh
C00195,Customer_00195,Corporate,Kolkata
C00196,Customer_00196,Retail,Lucknow
C00197,Customer_00197,Wholesale,Lucknow
C00198,Customer_00198,Retail,Pune
C00199,Customer_00199,Online,Raipur
C00200,Customer_00200,Online,Surat
C00201,Customer_00201,Online,Delhi
C00202,Customer_00202,Online,Bhubaneswar
C00203,Customer_00203,Retail,Surat
C00204,Customer_00204,Corporate,Raipur
C00205,Customer_00205,Wholesale,Delhi
C00206,Customer_00206,Retail,Surat
C00207,Customer_00207,Online,Surat
C00208,Customer_00208,Online,Mumbai
C00209,Customer_00209,Retail,Pune
C00210,Customer_00210,Online,Patna
C00211,Customer_00211,Corporate,Raipur
C00212,Customer_00212,Retail,Raipur
C00213,Customer_00213,Corporate,Chandigarh
C00214,Customer_00214,Retail,Kochi
C00215,Customer_00215,Retail,Bhubaneswar
C00216,Customer_00216,Retail,Jaipur
C00217,Customer_00217,Online,Lucknow
C00218,Customer_00218,Online,Surat
C00219,Customer_00219,Retail,Chennai
C00220,Customer_00220,Wholesale,Kochi
C00221,Customer_00221,Online,Patna
C00222,Customer_00222,Retail,Kochi
C00223,Customer_00223,Online,Chandigarh
C00224,Customer_00224,Online,Kochi
C00225,Customer_00225,Wholesale,Hyderabad
C00226,Customer_00226,Corporate,Bhopal
C00227,Customer_00227,Wholesale,Lucknow
C00228,Customer_00228,Corporate,Chennai
C00229,Customer_00229,Online,Chennai
C00230,Customer_00230,Online,Surat
C00231,Customer_00231,Retail,Hyderabad
C00232,Customer_00232,Online,Kochi
C00233,Customer_00233,Wholesale,Nagpur
C00234,Customer_00234,Retail,Delhi
C00235,Customer_00235,Retail,Patna
C00236,Customer_00236,Online,Lucknow
C00237,Customer_00237,Wholesale,Pune
C00238,Customer_00238,Online,Chandigarh
C00239,Customer_00239,Online,Kochi
C00240,Customer_00240,Retail,Pune
C00241,Customer_00241,Online,Jaipur
C00242,Customer_00242,Retail,Surat
C00243,Customer_00243,Online,Patna
C00244,Customer_00244,Online,Lucknow
C00245,Customer_00245,Wholesale,Bengaluru
C00246,Customer_00246,Online,Mumbai
C00247,Customer_00247,Retail,Raipur
C00248,Customer_00248,Wholesale,Mumbai
C00249,Customer_00249,Online,Bhopal
C00250,Customer_00250,Wholesale,Bengaluru
C00251,Customer_00251,Retail,Bhubaneswar
C00252,Customer_00252,Wholesale,Bhopal
C00253,Customer_00253,Online,Kolkata
C00254,Customer_00254,Retail,Mumbai
C00255,Customer_00255,Retail,Hyderabad
C00256,Customer_00256,Online,Nagpur
C00257,Customer_00257,Online,Mumbai
C00258,Customer_00258,Retail,Chandigarh
C00259,Customer_00259,Retail,Ahmedabad
C00260,Customer_00260,Retail,Bhubaneswar
C00261,Customer_00261,Retail,Kochi
C00262,Customer_00262,Wholesale,Chennai
C00263,Customer_00263,Online,Ahmedabad
C00264,Customer_00264,Online,Lucknow
C00265,Customer_00265,Online,Patna
C00266,Customer_00266,Retail,Pune
C00267,Customer_00267,Online,Ahmedabad
C00268,Customer_00268,Wholesale,Chennai
C00269,Customer_00269,Corporate,Bhubaneswar
C00270,Customer_00270,Online,Jaipur
C00271,Customer_00271,Retail,Chennai
C00272,Customer_00272,Online,Mumbai
C00273,Customer_00273,Retail,Bengaluru
C00274,Customer_00274,Online,Kochi
C00275,Customer_00275,Retail,Raipur
C00276,Customer_00276,Retail,Hyderabad
C00277,Customer_00277,Online,Chennai
C00278,Customer_00278,Retail,Bhubaneswar
C00279,Customer_00279,Online,Chennai
C00280,Customer_00280,Retail,Jaipur
C00281,Customer_00281,Online,Mumbai
C00282,Customer_00282,Online,Kolkata
C00283,Customer_00283,Wholesale,Bengaluru
