Date,Year,Quarter,Month,Month_Name,Day,Week_Of_Year,Day_Name,Is_Weekend
01-01-2023,2023,Q1,1,January,1,52,Sunday,TRUE
02-01-2023,2023,Q1,1,January,2,1,Monday,FALSE
03-01-2023,2023,Q1,1,January,3,1,Tuesday,FALSE
04-01-2023,2023,Q1,1,January,4,1,Wednesday,FALSE
05-01-2023,2023,Q1,1,January,5,1,Thursday,FALSE
06-01-2023,2023,Q1,1,January,6,1,Friday,FALSE
07-01-2023,2023,Q1,1,January,7,1,Saturday,TRUE
08-01-2023,2023,Q1,1,January,8,1,Sunday,TRUE
09-01-2023,2023,Q1,1,January,9,2,Monday,FALSE
10-01-2023,2023,Q1,1,January,10,2,Tuesday,FALSE
11-01-2023,2023,Q1,1,January,11,2,Wednesday,FALSE
12-01-2023,2023,Q1,1,January,12,2,Thursday,FALSE
13-01-2023,2023,Q1,1,January,13,2,Friday,FALSE
14-01-2023,2023,Q1,1,January,14,2,Saturday,TRUE
15-01-2023,2023,Q1,1,January,15,2,Sunday,TRUE
16-01-2023,2023,Q1,1,January,16,3,Monday,FALSE
17-01-2023,2023,Q1,1,January,17,3,Tuesday,FALSE
18-01-2023,2023,Q1,1,January,18,3,Wednesday,FALSE
19-01-2023,2023,Q1,1,January,19,3,Thursday,FALSE
20-01-2023,2023,Q1,1,January,20,3,Friday,FALSE
21-01-2023,2023,Q1,1,January,21,3,Saturday,TRUE
22-01-2023,2023,Q1,1,January,22,3,Sunday,TRUE
23-01-2023,2023,Q1,1,January,23,4,Monday,FALSE
24-01-2023,2023,Q1,1,January,24,4,Tuesday,FALSE
25-01-2023,2023,Q1,1,January,25,4,Wednesday,FALSE
26-01-2023,2023,Q1,1,January,26,4,Thursday,FALSE
27-01-2023,2023,Q1,1,January,27,4,Friday,FALSE
28-01-2023,2023,Q1,1,January,28,4,Saturday,TRUE
29-01-2023,2023,Q1,1,January,29,4,Sunday,TRUE
30-01-2023,2023,Q1,1,January,30,5,Monday,FALSE
31-01-2023,2023,Q1,1,January,31,5,Tuesday,FALSE
01-02-2023,2023,Q1,2,February,1,5,Wednesday,FALSE
02-02-2023,2023,Q1,2,February,2,5,Thursday,FALSE
03-02-2023,2023,Q1,2,February,3,5,Friday,FALSE
04-02-2023,2023,Q1,2,February,4,5,Saturday,TRUE
05-02-2023,2023,Q1,2,February,5,5,Sunday,TRUE
06-02-2023,2023,Q1,2,February,6,6,Monday,FALSE
07-02-2023,2023,Q1,2,February,7,6,Tuesday,FALSE
08-02-2023,2023,Q1,2,February,8,6,Wednesday,FALSE
09-02-2023,2023,Q1,2,February,9,6,Thursday,FALSE
10-02-2023,2023,Q1,2,February,10,6,Friday,FALSE
11-02-2023,2023,Q1,2,February,11,6,Saturday,TRUE
12-02-2023,2023,Q1,2,February,12,6,Sunday,TRUE
13-02-2023,2023,Q1,2,February,13,7,Monday,FALSE
14-02-2023,2023,Q1,2,February,14,7,Tuesday,FALSE
15-02-2023,2023,Q1,2,February,15,7,Wednesday,FALSE
16-02-2023,2023,Q1,2,February,16,7,Thursday,FALSE
17-02-2023,2023,Q1,2,February,17,7,Friday,FALSE
18-02-2023,2023,Q1,2,February,18,7,Saturday,TRUE
19-02-2023,2023,Q1,2,February,19,7,Sunday,TRUE
20-02-2023,2023,Q1,2,February,20,8,Monday,FALSE
21-02-2023,2023,Q1,2,February,21,8,Tuesday,FALSE
22-02-2023,2023,Q1,2,February,22,8,Wednesday,FALSE
23-02-2023,2023,Q1,2,February,23,8,Thursday,FALSE
24-02-2023,2023,Q1,2,February,24,8,Friday,FALSE
25-02-2023,2023,Q1,2,February,25,8,Saturday,TRUE
26-02-2023,2023,Q1,2,February,26,8,Sunday,TRUE
27-02-2023,2023,Q1,2,February,27,9,Monday,FALSE
28-02-2023,2023,Q1,2,February,28,9,Tuesday,FALSE
01-03-2023,2023,Q1,3,March,1,9,Wednesday,FALSE
02-03-2023,2023,Q1,3,March,2,9,Thursday,FALSE
03-03-2023,2023,Q1,3,March,3,9,Friday,FALSE
04-03-2023,2023,Q1,3,March,4,9,Saturday,TRUE
05-03-2023,2023,Q1,3,March,5,9,Sunday,TRUE
06-03-2023,2023,Q1,3,March,6,10,Monday,FALSE
07-03-2023,2023,Q1,3,March,7,10,Tuesday,FALSE
08-03-2023,2023,Q1,3,March,8,10,Wednesday,FALSE
09-03-2023,2023,Q1,3,March,9,10,Thursday,FALSE
10-03-2023,2023,Q1,3,March,10,10,Friday,FALSE
