Order_ID,Order_Line_ID,Customer_ID,Product_ID,Warehouse_ID,Order_Date,Ordered_Quantity,Fulfilled_Quantity,Order_Status
ORD0000001,ORD0000001-L1,C00001,P0121,W03,10-02-2023,3,2,Completed
ORD0000002,ORD0000002-L1,C00001,P0183,W02,03-05-2023,1,0,Completed
ORD0000002,ORD0000002-L2,C00001,P0133,W15,03-05-2023,4,3,Completed
ORD0000003,ORD0000003-L1,C00001,P0034,W09,27-05-2023,2,1,Completed
ORD0000003,ORD0000003-L2,C00001,P0135,W09,27-05-2023,2,1,Completed
ORD0000004,ORD0000004-L1,C00001,P0067,W07,31-05-2023,6,5,Completed
ORD0000004,ORD0000004-L2,C00001,P0154,W01,31-05-2023,7,6,Completed
ORD0000005,ORD0000005-L1,C00001,P0088,W12,11-08-2023,5,4,Completed
ORD0000005,ORD0000005-L2,C00001,P0034,W12,11-08-2023,6,5,Completed
ORD0000005,ORD0000005-L3,C00001,P0128,W07,11-08-2023,2,1,Completed
ORD0000006,ORD0000006-L1,C00001,P0122,W13,05-09-2023,4,3,Completed
ORD0000006,ORD0000006-L2,C00001,P0109,W04,05-09-2023,2,1,Completed
ORD0000007,ORD0000007-L1,C00001,P0168,W12,08-09-2023,3,2,Completed
ORD0000008,ORD0000008-L1,C00001,P0074,W01,19-10-2023,7,6,Completed
ORD0000008,ORD0000008-L2,C00001,P0089,W12,19-10-2023,4,3,Completed
ORD0000008,ORD0000008-L3,C00001,P0064,W12,19-10-2023,6,5,Completed
ORD0000009,ORD0000009-L1,C00001,P0111,W13,06-12-2023,4,3,Completed
ORD0000009,ORD0000009-L2,C00001,P0088,W05,06-12-2023,2,1,Completed
ORD0000009,ORD0000009-L3,C00001,P0021,W01,06-12-2023,2,1,Completed
ORD0000010,ORD0000010-L1,C00001,P0080,W01,24-01-2024,4,3,Completed
ORD0000010,ORD0000010-L2,C00001,P0040,W06,24-01-2024,2,1,Completed
ORD0000011,ORD0000011-L1,C00001,P0132,W08,25-03-2024,2,1,Completed
