Delivery_ID,Order_ID,Shipment_Date,Expected_Delivery_Date,Actual_Delivery_Date,Delivery_Status,Delivery_Region,Delivery_Accuracy_Flag,Damage_Flag,Carrier_ID
DLV0000001,ORD0000001,12-02-2023,15-02-2023,16-02-2023,Delivered,North,Y,N,CAR08
DLV0000002,ORD0000002,05-05-2023,08-05-2023,07-05-2023,Delivered,North,Y,N,CAR08
DLV0000003,ORD0000003,29-05-2023,01-06-2023,01-06-2023,Delivered,North,Y,N,CAR07
DLV0000004,ORD0000004,02-06-2023,05-06-2023,04-06-2023,Delivered,North,Y,N,CAR12
DLV0000005,ORD0000005,13-08-2023,16-08-2023,20-08-2023,Delivered,North,Y,N,CAR14
DLV0000006,ORD0000006,06-09-2023,09-09-2023,08-09-2023,Delivered,North,Y,N,CAR05
DLV0000007,ORD0000007,11-09-2023,14-09-2023,13-09-2023,Delivered,North,Y,N,CAR01
DLV0000008,ORD0000008,21-10-2023,24-10-2023,24-10-2023,Delivered,North,Y,N,CAR14
DLV0000009,ORD0000009,08-12-2023,11-12-2023,10-12-2023,Delivered,North,Y,N,CAR05
DLV0000010,ORD0000010,25-01-2024,28-01-2024,28-01-2024,Delivered,North,Y,N,CAR06
DLV0000011,ORD0000011,27-03-2024,30-03-2024,30-03-2024,Delivered,North,Y,N,CAR07
DLV0000012,ORD0000012,10-04-2024,13-04-2024,11-04-2024,Delivered,North,Y,N,CAR03
DLV0000013,ORD0000013,13-04-2024,16-04-2024,16-04-2024,Delivered,North,Y,N,CAR03
DLV0000014,ORD0000014,23-05-2024,26-05-2024,25-05-2024,Delivered,North,Y,N,CAR07
DLV0000015,ORD0000015,14-06-2024,17-06-2024,16-06-2024,Delivered,North,N,N,CAR03
DLV0000016,ORD0000016,14-06-2024,17-06-2024,17-06-2024,Delivered,North,Y,N,CAR05
DLV0000017,ORD0000017,29-06-2024,02-07-2024,30-06-2024,Delivered,North,Y,N,CAR07
DLV0000018,ORD0000018,04-07-2024,07-07-2024,10-08-2024,Delivered,North,Y,N,CAR08
DLV0000019,ORD0000019,14-08-2024,17-08-2024,28-08-2024,Delivered,North,Y,N,CAR04
DLV0000020,ORD0000020,14-12-2024,17-12-2024,15-12-2024,Delivered,North,Y,N,CAR12
DLV0000021,ORD0000021,21-12-2024,24-12-2024,23-12-2024,Delivered,North,Y,N,CAR10
DLV0000022,ORD0000022,27-01-2023,30-01-2023,29-01-2023,Delivered,West,Y,N,CAR02
DLV0000023,ORD0000023,22-03-2023,25-03-2023,25-03-2023,Delivered,West,Y,N,CAR03
DLV0000024,ORD0000024,11-05-2023,14-05-2023,13-05-2023,Delivered,West,Y,N,CAR12
DLV0000025,ORD0000025,13-05-2023,16-05-2023,16-05-2023,Delivered,West,Y,N,CAR15
DLV0000026,ORD0000026,07-06-2023,10-06-2023,10-06-2023,Delivered,West,Y,N,CAR13
DLV0000027,ORD0000027,18-06-2023,21-06-2023,19-06-2023,Delivered,West,Y,N,CAR05
DLV0000028,ORD0000028,18-07-2023,21-07-2023,21-07-2023,Delivered,West,Y,N,CAR02
DLV0000029,ORD0000029,23-08-2023,26-08-2023,25-08-2023,Delivered,West,N,Y,CAR09
DLV0000030,ORD0000030,06-10-2023,09-10-2023,12-10-2023,Delivered,West,Y,N,CAR02
DLV0000031,ORD0000032,14-10-2023,17-10-2023,16-10-2023,Delivered,West,Y,N,CAR02
DLV0000032,ORD0000033,25-10-2023,28-10-2023,28-10-2023,Delivered,West,Y,N,CAR04
DLV0000033,ORD0000034,14-11-2023,17-11-2023,23-11-2023,Delivered,West,Y,N,CAR02
DLV0000034,ORD0000035,08-12-2023,11-12-2023,10-12-2023,Delivered,West,Y,N,CAR06
DLV0000035,ORD0000036,25-12-2023,28-12-2023,28-12-2023,Delivered,West,Y,N,CAR15
DLV0000036,ORD0000037,07-02-2024,10-02-2024,21-02-2024,Delivered,West,Y,N,CAR01
DLV0000037,ORD0000038,09-02-2024,12-02-2024,11-02-2024,Delivered,West,Y,N,CAR09
DLV0000038,ORD0000039,10-02-2024,13-02-2024,12-02-2024,Delivered,West,Y,N,CAR08
DLV0000039,ORD0000040,21-02-2024,24-02-2024,24-02-2024,Delivered,West,Y,N,CAR04
DLV0000040,ORD0000041,18-03-2024,21-03-2024,20-03-2024,Delivered,West,Y,N,CAR14
DLV0000041,ORD0000042,21-03-2024,24-03-2024,23-03-2024,Delivered,West,Y,N,CAR10
DLV0000042,ORD0000043,09-06-2024,12-06-2024,21-06-2024,Delivered,West,Y,N,CAR03
DLV0000043,ORD0000044,19-07-2024,22-07-2024,21-07-2024,Delivered,West,Y,N,CAR13
DLV0000044,ORD0000045,01-08-2024,04-08-2024,04-08-2024,Delivered,West,Y,N,CAR01
DLV0000045,ORD0000046,09-08-2024,12-08-2024,16-08-2024,Delivered,West,Y,N,CAR04
DLV0000046,ORD0000047,12-09-2024,15-09-2024,17-09-2024,Delivered,West,Y,N,CAR06
DLV0000047,ORD0000048,23-09-2024,26-09-2024,26-09-2024,Delivered,West,Y,N,CAR08
DLV0000048,ORD0000049,11-10-2024,14-10-2024,14-10-2024,Delivered,West,Y,N,CAR12
DLV0000049,ORD0000050,16-10-2024,19-10-2024,18-10-2024,Delivered,West,Y,N,CAR06
DLV0000050,ORD0000051,10-01-2023,14-01-2023,13-01-2023,Delivered,Central,Y,N,CAR03
DLV0000051,ORD0000052,15-04-2023,19-04-2023,19-04-2023,Delivered,Central,Y,N,CAR14
DLV0000052,ORD0000053,25-04-2023,29-04-2023,06-05-2023,Delivered,Central,Y,N,CAR15
DLV0000053,ORD0000054,12-05-2023,16-05-2023,17-05-2023,Delivered,Central,N,N,CAR11
DLV0000054,ORD0000055,23-05-2023,27-05-2023,26-05-2023,Delivered,Central,Y,N,CAR10
DLV0000055,ORD0000056,13-06-2023,17-06-2023,20-06-2023,Delivered,Central,Y,N,CAR13
DLV0000056,ORD0000057,08-07-2023,12-07-2023,12-07-2023,Delivered,Central,Y,N,CAR02
DLV0000057,ORD0000058,10-07-2023,14-07-2023,15-07-2023,Delivered,Central,Y,N,CAR11
DLV0000058,ORD0000059,09-07-2023,13-07-2023,15-07-2023,Delivered,Central,Y,N,CAR11
DLV0000059,ORD0000060,18-07-2023,22-07-2023,31-07-2023,Delivered,Central,Y,N,CAR06
DLV0000060,ORD0000061,11-09-2023,15-09-2023,15-09-2023,Delivered,Central,Y,N,CAR02
DLV0000061,ORD0000062,14-09-2023,18-09-2023,22-09-2023,Delivered,Central,Y,N,CAR08
DLV0000062,ORD0000063,15-09-2023,19-09-2023,19-09-2023,Delivered,Central,Y,N,CAR15
DLV0000063,ORD0000064,30-09-2023,04-10-2023,15-10-2023,Delivered,Central,Y,N,CAR14
DLV0000064,ORD0000065,04-10-2023,08-10-2023,10-10-2023,Delivered,Central,Y,N,CAR02
DLV0000065,ORD0000066,23-10-2023,27-10-2023,28-10-2023,Delivered,Central,Y,N,CAR06
DLV0000066,ORD0000068,09-11-2023,13-11-2023,13-11-2023,Delivered,Central,Y,N,CAR09
DLV0000067,ORD0000069,26-11-2023,30-11-2023,13-12-2023,Delivered,Central,Y,N,CAR15
DLV0000068,ORD0000070,30-11-2023,04-12-2023,03-12-2023,Delivered,Central,Y,N,CAR01
DLV0000069,ORD0000072,08-12-2023,12-12-2023,11-12-2023,Delivered,Central,Y,N,CAR06
DLV0000070,ORD0000073,07-12-2023,11-12-2023,24-12-2023,Delivered,Central,Y,N,CAR07
DLV0000071,ORD0000074,10-12-2023,14-12-2023,20-12-2023,Delivered,Central,Y,N,CAR08
DLV0000072,ORD0000075,18-12-2023,22-12-2023,21-12-2023,Delivered,Central,Y,N,CAR12
DLV0000073,ORD0000076,18-01-2024,22-01-2024,22-01-2024,Delivered,Central,Y,N,CAR13
DLV0000074,ORD0000077,12-02-2024,16-02-2024,15-02-2024,Delivered,Central,Y,N,CAR12
DLV0000075,ORD0000078,14-03-2024,18-03-2024,18-03-2024,Delivered,Central,Y,N,CAR15
DLV0000076,ORD0000079,24-03-2024,28-03-2024,03-04-2024,Delivered,Central,Y,N,CAR12
DLV0000077,ORD0000080,23-03-2024,27-03-2024,26-03-2024,Delivered,Central,Y,N,CAR10
DLV0000078,ORD0000081,12-04-2024,16-04-2024,22-04-2024,Delivered,Central,Y,N,CAR01
DLV0000079,ORD0000082,02-05-2024,06-05-2024,17-05-2024,Delivered,Central,Y,N,CAR06
DLV0000080,ORD0000083,15-05-2024,19-05-2024,18-05-2024,Delivered,Central,Y,N,CAR07
DLV0000081,ORD0000084,19-05-2024,23-05-2024,28-05-2024,Delivered,Central,Y,N,CAR01
DLV0000082,ORD0000086,24-07-2024,28-07-2024,27-07-2024,Delivered,Central,Y,N,CAR05
DLV0000083,ORD0000087,21-08-2024,25-08-2024,25-08-2024,Delivered,Central,Y,N,CAR06
DLV0000084,ORD0000089,15-09-2024,19-09-2024,19-09-2024,Delivered,Central,Y,N,CAR09
DLV0000085,ORD0000091,20-10-2024,24-10-2024,24-10-2024,Delivered,Central,Y,N,CAR07
DLV0000086,ORD0000092,24-10-2024,28-10-2024,27-10-2024,Delivered,Central,Y,N,CAR03
DLV0000087,ORD0000093,13-11-2024,17-11-2024,23-11-2024,Delivered,Central,Y,Y,CAR11
DLV0000088,ORD0000094,05-01-2023,08-01-2023,08-01-2023,Delivered,West,Y,N,CAR08
DLV0000089,ORD0000095,17-01-2023,20-01-2023,05-02-2023,Delivered,West,Y,N,CAR04
DLV0000090,ORD0000096,16-03-2023,19-03-2023,19-03-2023,Delivered,West,N,N,CAR03
DLV0000091,ORD0000097,25-03-2023,28-03-2023,28-03-2023,Delivered,West,Y,N,CAR14
DLV0000092,ORD0000098,30-03-2023,02-04-2023,02-04-2023,Delivered,West,Y,N,CAR15
DLV0000093,ORD0000099,06-04-2023,09-04-2023,09-04-2023,Delivered,West,Y,N,CAR08
DLV0000094,ORD0000100,02-05-2023,05-05-2023,14-05-2023,Delivered,West,Y,N,CAR14
DLV0000095,ORD0000101,27-05-2023,30-05-2023,28-05-2023,Delivered,West,Y,N,CAR06
DLV0000096,ORD0000102,11-06-2023,14-06-2023,15-06-2023,Delivered,West,Y,N,CAR13
DLV0000097,ORD0000103,10-06-2023,13-06-2023,12-06-2023,Delivered,West,Y,N,CAR12
DLV0000098,ORD0000104,13-06-2023,16-06-2023,18-06-2023,Delivered,West,Y,N,CAR12
DLV0000099,ORD0000105,02-07-2023,05-07-2023,23-07-2023,Delivered,West,Y,N,CAR11
DLV0000100,ORD0000106,28-07-2023,31-07-2023,30-07-2023,Delivered,West,Y,N,CAR01
