Date,Year,Quarter,Month,Month_Name,Day,Week_Of_Year,Day_Name,Is_Weekend
2023-01-01,2023,Q1,1,January,1,52,Sunday,True
2023-01-02,2023,Q1,1,January,2,1,Monday,False
2023-01-03,2023,Q1,1,January,3,1,Tuesday,False
2023-01-04,2023,Q1,1,January,4,1,Wednesday,False
2023-01-05,2023,Q1,1,January,5,1,Thursday,False
2023-01-06,2023,Q1,1,January,6,1,Friday,False
2023-01-07,2023,Q1,1,January,7,1,Saturday,True
2023-01-08,2023,Q1,1,January,8,1,Sunday,True
2023-01-09,2023,Q1,1,January,9,2,Monday,False
2023-01-10,2023,Q1,1,January,10,2,Tuesday,False
2023-01-11,2023,Q1,1,January,11,2,Wednesday,False
2023-01-12,2023,Q1,1,January,12,2,Thursday,False
2023-01-13,2023,Q1,1,January,13,2,Friday,False
2023-01-14,2023,Q1,1,January,14,2,Saturday,True
2023-01-15,2023,Q1,1,January,15,2,Sunday,True
2023-01-16,2023,Q1,1,January,16,3,Monday,False
2023-01-17,2023,Q1,1,January,17,3,Tuesday,False
2023-01-18,2023,Q1,1,January,18,3,Wednesday,False
2023-01-19,2023,Q1,1,January,19,3,Thursday,False
2023-01-20,2023,Q1,1,January,20,3,Friday,False
2023-01-21,2023,Q1,1,January,21,3,Saturday,True
2023-01-22,2023,Q1,1,January,22,3,Sunday,True
2023-01-23,2023,Q1,1,January,23,4,Monday,False
2023-01-24,2023,Q1,1,January,24,4,Tuesday,False
2023-01-25,2023,Q1,1,January,25,4,Wednesday,False
2023-01-26,2023,Q1,1,January,26,4,Thursday,False
2023-01-27,2023,Q1,1,January,27,4,Friday,False
2023-01-28,2023,Q1,1,January,28,4,Saturday,True
2023-01-29,2023,Q1,1,January,29,4,Sunday,True
2023-01-30,2023,Q1,1,January,30,5,Monday,False
2023-01-31,2023,Q1,1,January,31,5,Tuesday,False
2023-02-01,2023,Q1,2,February,1,5,Wednesday,False
2023-02-02,2023,Q1,2,February,2,5,Thursday,False
2023-02-03,2023,Q1,2,February,3,5,Friday,False
2023-02-04,2023,Q1,2,February,4,5,Saturday,True
2023-02-05,2023,Q1,2,February,5,5,Sunday,True
2023-02-06,2023,Q1,2,February,6,6,Monday,False
2023-02-07,2023,Q1,2,February,7,6,Tuesday,False
2023-02-08,2023,Q1,2,February,8,6,Wednesday,False
2023-02-09,2023,Q1,2,February,9,6,Thursday,False
2023-02-10,2023,Q1,2,February,10,6,Friday,False
2023-02-11,2023,Q1,2,February,11,6,Saturday,True
2023-02-12,2023,Q1,2,February,12,6,Sunday,True
2023-02-13,2023,Q1,2,February,13,7,Monday,False
2023-02-14,2023,Q1,2,February,14,7,Tuesday,False
2023-02-15,2023,Q1,2,February,15,7,Wednesday,False
2023-02-16,2023,Q1,2,February,16,7,Thursday,False
2023-02-17,2023,Q1,2,February,17,7,Friday,False
2023-02-18,2023,Q1,2,February,18,7,Saturday,True
2023-02-19,2023,Q1,2,February,19,7,Sunday,True
2023-02-20,2023,Q1,2,February,20,8,Monday,False
