Delivery_ID,Order_ID,Shipment_Date,Expected_Delivery_Date,Actual_Delivery_Date,Delivery_Status,Delivery_Region,Delivery_Accuracy_Flag,Damage_Flag,Carrier_ID
DLV0000001,ORD0000001,2023-02-12,2023-02-15,2023-02-16,Delivered,North,Y,N,CAR08
DLV0000002,ORD0000002,2023-05-05,2023-05-08,2023-05-07,Delivered,North,Y,N,CAR08
DLV0000003,ORD0000003,2023-05-29,2023-06-01,2023-06-01,Delivered,North,Y,N,CAR07
DLV0000004,ORD0000004,2023-06-02,2023-06-05,2023-06-04,Delivered,North,Y,N,CAR12
DLV0000005,ORD0000005,2023-08-13,2023-08-16,2023-08-20,Delivered,North,Y,N,CAR14
DLV0000006,ORD0000006,2023-09-06,2023-09-09,2023-09-08,Delivered,North,Y,N,CAR05
DLV0000007,ORD0000007,2023-09-11,2023-09-14,2023-09-13,Delivered,North,Y,N,CAR01
DLV0000008,ORD0000008,2023-10-21,2023-10-24,2023-10-24,Delivered,North,Y,N,CAR14
DLV0000009,ORD0000009,2023-12-08,2023-12-11,2023-12-10,Delivered,North,Y,N,CAR05
DLV0000010,ORD0000010,2024-01-25,2024-01-28,2024-01-28,Delivered,North,Y,N,CAR06
DLV0000011,ORD0000011,2024-03-27,2024-03-30,2024-03-30,Delivered,North,Y,N,CAR07
DLV0000012,ORD0000012,2024-04-10,2024-04-13,2024-04-11,Delivered,North,Y,N,CAR03
DLV0000013,ORD0000013,2024-04-13,2024-04-16,2024-04-16,Delivered,North,Y,N,CAR03
DLV0000014,ORD0000014,2024-05-23,2024-05-26,2024-05-25,Delivered,North,Y,N,CAR07
DLV0000015,ORD0000015,2024-06-14,2024-06-17,2024-06-16,Delivered,North,N,N,CAR03
DLV0000016,ORD0000016,2024-06-14,2024-06-17,2024-06-17,Delivered,North,Y,N,CAR05
DLV0000017,ORD0000017,2024-06-29,2024-07-02,2024-06-30,Delivered,North,Y,N,CAR07
DLV0000018,ORD0000018,2024-07-04,2024-07-07,2024-08-10,Delivered,North,Y,N,CAR08
DLV0000019,ORD0000019,2024-08-14,2024-08-17,2024-08-28,Delivered,North,Y,N,CAR04
DLV0000020,ORD0000020,2024-12-14,2024-12-17,2024-12-15,Delivered,North,Y,N,CAR12
DLV0000021,ORD0000021,2024-12-21,2024-12-24,2024-12-23,Delivered,North,Y,N,CAR10
DLV0000022,ORD0000022,2023-01-27,2023-01-30,2023-01-29,Delivered,West,Y,N,CAR02
DLV0000023,ORD0000023,2023-03-22,2023-03-25,2023-03-25,Delivered,West,Y,N,CAR03
DLV0000024,ORD0000024,2023-05-11,2023-05-14,2023-05-13,Delivered,West,Y,N,CAR12
DLV0000025,ORD0000025,2023-05-13,2023-05-16,2023-05-16,Delivered,West,Y,N,CAR15
DLV0000026,ORD0000026,2023-06-07,2023-06-10,2023-06-10,Delivered,West,Y,N,CAR13
DLV0000027,ORD0000027,2023-06-18,2023-06-21,2023-06-19,Delivered,West,Y,N,CAR05
DLV0000028,ORD0000028,2023-07-18,2023-07-21,2023-07-21,Delivered,West,Y,N,CAR02
DLV0000029,ORD0000029,2023-08-23,2023-08-26,2023-08-25,Delivered,West,N,Y,CAR09
DLV0000030,ORD0000030,2023-10-06,2023-10-09,2023-10-12,Delivered,West,Y,N,CAR02
DLV0000031,ORD0000032,2023-10-14,2023-10-17,2023-10-16,Delivered,West,Y,N,CAR02
DLV0000032,ORD0000033,2023-10-25,2023-10-28,2023-10-28,Delivered,West,Y,N,CAR04
DLV0000033,ORD0000034,2023-11-14,2023-11-17,2023-11-23,Delivered,West,Y,N,CAR02
DLV0000034,ORD0000035,2023-12-08,2023-12-11,2023-12-10,Delivered,West,Y,N,CAR06
DLV0000035,ORD0000036,2023-12-25,2023-12-28,2023-12-28,Delivered,West,Y,N,CAR15
DLV0000036,ORD0000037,2024-02-07,2024-02-10,2024-02-21,Delivered,West,Y,N,CAR01
DLV0000037,ORD0000038,2024-02-09,2024-02-12,2024-02-11,Delivered,West,Y,N,CAR09
DLV0000038,ORD0000039,2024-02-10,2024-02-13,2024-02-12,Delivered,West,Y,N,CAR08
DLV0000039,ORD0000040,2024-02-21,2024-02-24,2024-02-24,Delivered,West,Y,N,CAR04
DLV0000040,ORD0000041,2024-03-18,2024-03-21,2024-03-20,Delivered,West,Y,N,CAR14
DLV0000041,ORD0000042,2024-03-21,2024-03-24,2024-03-23,Delivered,West,Y,N,CAR10
DLV0000042,ORD0000043,2024-06-09,2024-06-12,2024-06-21,Delivered,West,Y,N,CAR03
DLV0000043,ORD0000044,2024-07-19,2024-07-22,2024-07-21,Delivered,West,Y,N,CAR13
DLV0000044,ORD0000045,2024-08-01,2024-08-04,2024-08-04,Delivered,West,Y,N,CAR01
DLV0000045,ORD0000046,2024-08-09,2024-08-12,2024-08-16,Delivered,West,Y,N,CAR04
DLV0000046,ORD0000047,2024-09-12,2024-09-15,2024-09-17,Delivered,West,Y,N,CAR06
DLV0000047,ORD0000048,2024-09-23,2024-09-26,2024-09-26,Delivered,West,Y,N,CAR08
DLV0000048,ORD0000049,2024-10-11,2024-10-14,2024-10-14,Delivered,West,Y,N,CAR12
DLV0000049,ORD0000050,2024-10-16,2024-10-19,2024-10-18,Delivered,West,Y,N,CAR06
DLV0000050,ORD0000051,2023-01-10,2023-01-14,2023-01-13,Delivered,Central,Y,N,CAR03
DLV0000051,ORD0000052,2023-04-15,2023-04-19,2023-04-19,Delivered,Central,Y,N,CAR14
DLV0000052,ORD0000053,2023-04-25,2023-04-29,2023-05-06,Delivered,Central,Y,N,CAR15
DLV0000053,ORD0000054,2023-05-12,2023-05-16,2023-05-17,Delivered,Central,N,N,CAR11
DLV0000054,ORD0000055,2023-05-23,2023-05-27,2023-05-26,Delivered,Central,Y,N,CAR10
DLV0000055,ORD0000056,2023-06-13,2023-06-17,2023-06-20,Delivered,Central,Y,N,CAR13
DLV0000056,ORD0000057,2023-07-08,2023-07-12,2023-07-12,Delivered,Central,Y,N,CAR02
DLV0000057,ORD0000058,2023-07-10,2023-07-14,2023-07-15,Delivered,Central,Y,N,CAR11
DLV0000058,ORD0000059,2023-07-09,2023-07-13,2023-07-15,Delivered,Central,Y,N,CAR11
DLV0000059,ORD0000060,2023-07-18,2023-07-22,2023-07-31,Delivered,Central,Y,N,CAR06
DLV0000060,ORD0000061,2023-09-11,2023-09-15,2023-09-15,Delivered,Central,Y,N,CAR02
DLV0000061,ORD0000062,2023-09-14,2023-09-18,2023-09-22,Delivered,Central,Y,N,CAR08
DLV0000062,ORD0000063,2023-09-15,2023-09-19,2023-09-19,Delivered,Central,Y,N,CAR15
DLV0000063,ORD0000064,2023-09-30,2023-10-04,2023-10-15,Delivered,Central,Y,N,CAR14
DLV0000064,ORD0000065,2023-10-04,2023-10-08,2023-10-10,Delivered,Central,Y,N,CAR02
DLV0000065,ORD0000066,2023-10-23,2023-10-27,2023-10-28,Delivered,Central,Y,N,CAR06
DLV0000066,ORD0000068,2023-11-09,2023-11-13,2023-11-13,Delivered,Central,Y,N,CAR09
DLV0000067,ORD0000069,2023-11-26,2023-11-30,2023-12-13,Delivered,Central,Y,N,CAR15
DLV0000068,ORD0000070,2023-11-30,2023-12-04,2023-12-03,Delivered,Central,Y,N,CAR01
DLV0000069,ORD0000072,2023-12-08,2023-12-12,2023-12-11,Delivered,Central,Y,N,CAR06
DLV0000070,ORD0000073,2023-12-07,2023-12-11,2023-12-24,Delivered,Central,Y,N,CAR07
DLV0000071,ORD0000074,2023-12-10,2023-12-14,2023-12-20,Delivered,Central,Y,N,CAR08
DLV0000072,ORD0000075,2023-12-18,2023-12-22,2023-12-21,Delivered,Central,Y,N,CAR12
DLV0000073,ORD0000076,2024-01-18,2024-01-22,2024-01-22,Delivered,Central,Y,N,CAR13
DLV0000074,ORD0000077,2024-02-12,2024-02-16,2024-02-15,Delivered,Central,Y,N,CAR12
DLV0000075,ORD0000078,2024-03-14,2024-03-18,2024-03-18,Delivered,Central,Y,N,CAR15
DLV0000076,ORD0000079,2024-03-24,2024-03-28,2024-04-03,Delivered,Central,Y,N,CAR12
DLV0000077,ORD0000080,2024-03-23,2024-03-27,2024-03-26,Delivered,Central,Y,N,CAR10
DLV0000078,ORD0000081,2024-04-12,2024-04-16,2024-04-22,Delivered,Central,Y,N,CAR01
DLV0000079,ORD0000082,2024-05-02,2024-05-06,2024-05-17,Delivered,Central,Y,N,CAR06
DLV0000080,ORD0000083,2024-05-15,2024-05-19,2024-05-18,Delivered,Central,Y,N,CAR07
DLV0000081,ORD0000084,2024-05-19,2024-05-23,2024-05-28,Delivered,Central,Y,N,CAR01
DLV0000082,ORD0000086,2024-07-24,2024-07-28,2024-07-27,Delivered,Central,Y,N,CAR05
DLV0000083,ORD0000087,2024-08-21,2024-08-25,2024-08-25,Delivered,Central,Y,N,CAR06
DLV0000084,ORD0000089,2024-09-15,2024-09-19,2024-09-19,Delivered,Central,Y,N,CAR09
DLV0000085,ORD0000091,2024-10-20,2024-10-24,2024-10-24,Delivered,Central,Y,N,CAR07
DLV0000086,ORD0000092,2024-10-24,2024-10-28,2024-10-27,Delivered,Central,Y,N,CAR03
DLV0000087,ORD0000093,2024-11-13,2024-11-17,2024-11-23,Delivered,Central,Y,Y,CAR11
DLV0000088,ORD0000094,2023-01-05,2023-01-08,2023-01-08,Delivered,West,Y,N,CAR08
DLV0000089,ORD0000095,2023-01-17,2023-01-20,2023-02-05,Delivered,West,Y,N,CAR04
DLV0000090,ORD0000096,2023-03-16,2023-03-19,2023-03-19,Delivered,West,N,N,CAR03
DLV0000091,ORD0000097,2023-03-25,2023-03-28,2023-03-28,Delivered,West,Y,N,CAR14
DLV0000092,ORD0000098,2023-03-30,2023-04-02,2023-04-02,Delivered,West,Y,N,CAR15
DLV0000093,ORD0000099,2023-04-06,2023-04-09,2023-04-09,Delivered,West,Y,N,CAR08
DLV0000094,ORD0000100,2023-05-02,2023-05-05,2023-05-14,Delivered,West,Y,N,CAR14
DLV0000095,ORD0000101,2023-05-27,2023-05-30,2023-05-28,Delivered,West,Y,N,CAR06
DLV0000096,ORD0000102,2023-06-11,2023-06-14,2023-06-15,Delivered,West,Y,N,CAR13
DLV0000097,ORD0000103,2023-06-10,2023-06-13,2023-06-12,Delivered,West,Y,N,CAR12
DLV0000098,ORD0000104,2023-06-13,2023-06-16,2023-06-18,Delivered,West,Y,N,CAR12
DLV0000099,ORD0000105,2023-07-02,2023-07-05,2023-07-23,Delivered,West,Y,N,CAR11
DLV0000100,ORD0000106,2023-07-28,2023-07-31,2023-07-30,Delivered,West,Y,N,CAR01
DLV0000101,ORD0000107,2023-08-06,2023-08-09,2023-08-09,Delivered,West,Y,N,CAR08
DLV0000102,ORD0000108,2023-08-09,2023-08-12,2023-08-11,Delivered,West,Y,N,CAR15
DLV0000103,ORD0000109,2023-09-08,2023-09-11,2023-09-10,Delivered,West,Y,N,CAR05
DLV0000104,ORD0000110,2023-09-16,2023-09-19,2023-09-18,Delivered,West,Y,N,CAR04
DLV0000105,ORD0000111,2023-09-22,2023-09-25,2023-09-29,Delivered,West,Y,N,CAR07
DLV0000106,ORD0000112,2023-09-25,2023-09-28,2023-09-27,Delivered,West,Y,Y,CAR10
DLV0000107,ORD0000113,2023-10-09,2023-10-12,2023-10-12,Delivered,West,Y,N,CAR07
DLV0000108,ORD0000114,2023-10-12,2023-10-15,2023-10-16,Delivered,West,Y,N,CAR12
DLV0000109,ORD0000115,2023-10-20,2023-10-23,2023-10-25,Delivered,West,Y,N,CAR10
DLV0000110,ORD0000116,2023-10-21,2023-10-24,2023-10-24,Delivered,West,Y,Y,CAR01
DLV0000111,ORD0000117,2023-10-25,2023-10-28,2023-10-27,Delivered,West,Y,N,CAR03
DLV0000112,ORD0000118,2023-11-16,2023-11-19,2023-11-19,Delivered,West,Y,N,CAR14
DLV0000113,ORD0000119,2023-11-25,2023-11-28,2023-12-02,Delivered,West,Y,N,CAR01
DLV0000114,ORD0000120,2023-12-24,2023-12-27,2023-12-27,Delivered,West,Y,N,CAR08
DLV0000115,ORD0000121,2023-12-26,2023-12-29,2023-12-27,Delivered,West,Y,N,CAR08
DLV0000116,ORD0000122,2023-12-30,2024-01-02,2024-01-01,Delivered,West,Y,N,CAR05
DLV0000117,ORD0000123,2024-01-24,2024-01-27,2024-02-07,Delivered,West,Y,N,CAR10
DLV0000118,ORD0000124,2024-02-01,2024-02-04,2024-02-04,Delivered,West,Y,N,CAR02
DLV0000119,ORD0000125,2024-02-14,2024-02-17,2024-02-25,Delivered,West,Y,N,CAR06
DLV0000120,ORD0000126,2024-02-27,2024-03-01,2024-03-01,Delivered,West,Y,Y,CAR06
DLV0000121,ORD0000127,2024-04-27,2024-04-30,2024-05-10,Delivered,West,Y,N,CAR01
DLV0000122,ORD0000128,2024-05-19,2024-05-22,2024-05-24,Delivered,West,Y,N,CAR13
DLV0000123,ORD0000129,2024-07-08,2024-07-11,2024-07-10,Delivered,West,Y,N,CAR14
DLV0000124,ORD0000130,2024-08-05,2024-08-08,2024-08-22,Delivered,West,Y,N,CAR02
DLV0000125,ORD0000131,2024-08-07,2024-08-10,2024-08-10,Delivered,West,Y,N,CAR10
DLV0000126,ORD0000132,2024-08-18,2024-08-21,2024-08-21,Delivered,West,Y,N,CAR08
DLV0000127,ORD0000133,2024-08-19,2024-08-22,2024-08-22,Delivered,West,Y,N,CAR11
DLV0000128,ORD0000134,2024-08-19,2024-08-22,2024-08-21,Delivered,West,Y,N,CAR01
DLV0000129,ORD0000135,2024-08-22,2024-08-25,2024-08-23,Delivered,West,Y,N,CAR12
DLV0000130,ORD0000136,2024-09-14,2024-09-17,2024-09-17,Delivered,West,Y,N,CAR14
DLV0000131,ORD0000137,2024-09-29,2024-10-02,2024-10-02,Delivered,West,Y,N,CAR06
DLV0000132,ORD0000138,2024-11-28,2024-12-01,2024-11-30,Delivered,West,Y,N,CAR08
DLV0000133,ORD0000139,2023-01-07,2023-01-12,2023-01-11,Delivered,East,Y,N,CAR05
DLV0000134,ORD0000140,2023-05-06,2023-05-11,2023-05-10,Delivered,East,Y,N,CAR14
DLV0000135,ORD0000141,2023-06-10,2023-06-15,2023-06-24,Delivered,East,Y,N,CAR13
DLV0000136,ORD0000142,2023-07-18,2023-07-23,2023-08-06,Delivered,East,Y,N,CAR09
DLV0000137,ORD0000143,2023-08-07,2023-08-12,2023-08-11,Delivered,East,Y,N,CAR04
DLV0000138,ORD0000144,2023-08-20,2023-08-25,2023-09-01,Delivered,East,Y,N,CAR09
DLV0000139,ORD0000145,2023-09-01,2023-09-06,2023-09-06,Delivered,East,Y,N,CAR14
DLV0000140,ORD0000146,2023-09-23,2023-09-28,2023-09-30,Delivered,East,Y,N,CAR06
DLV0000141,ORD0000147,2023-10-03,2023-10-08,2023-10-18,Delivered,East,Y,N,CAR09
DLV0000142,ORD0000148,2023-10-11,2023-10-16,2023-10-15,Delivered,East,Y,N,CAR05
