PO_ID,PO_Line_ID,Supplier_ID,Product_ID,Order_Date,Expected_Delivery_Date,Actual_Delivery_Date,Ordered_Quantity,Received_Quantity,Planned_Unit_Cost,Actual_Unit_Cost,PO_Status
PO000001,PO000001-L1,S001,P0014,2023-01-02,2023-01-22,2023-02-11,677,576,256.43,245.94,Completed
PO000001,PO000001-L2,S001,P0029,2023-01-02,2023-01-22,2023-02-11,1229,1051,2092.9,2169.05,Completed
PO000001,PO000001-L3,S001,P0108,2023-01-02,2023-01-22,2023-02-11,465,403,382.09,392.79,Completed
PO000001,PO000001-L4,S001,P0008,2023-01-02,2023-01-22,2023-02-11,1482,1231,1416.64,1429.59,Completed
PO000002,PO000002-L1,S001,P0138,2023-01-04,2023-01-22,,447,0,186.24,,Open
PO000002,PO000002-L2,S001,P0080,2023-01-04,2023-01-22,,274,0,9036.79,,Open
PO000002,PO000002-L3,S001,P0014,2023-01-04,2023-01-22,,767,0,264.63,,Open
PO000003,PO000003-L1,S001,P0138,2023-01-06,2023-01-22,2023-01-29,436,394,183.22,207.6,Completed
PO000003,PO000003-L2,S001,P0014,2023-01-06,2023-01-22,2023-01-29,1208,1120,255.12,243.33,Completed
PO000003,PO000003-L3,S001,P0008,2023-01-06,2023-01-22,2023-01-29,1399,1169,1461.93,1382.83,Completed
PO000003,PO000003-L4,S001,P0029,2023-01-06,2023-01-22,2023-01-29,1349,1109,2045.96,2066.53,Completed
PO000004,PO000004-L1,S001,P0108,2023-01-09,2023-01-26,2023-01-26,1300,1121,379.85,379.73,Completed
PO000005,PO000005-L1,S001,P0029,2023-01-12,2023-01-29,,1013,0,2127.88,,Open
PO000005,PO000005-L2,S001,P0108,2023-01-12,2023-01-29,,1392,0,373.39,,Open
PO000005,PO000005-L3,S001,P0197,2023-01-12,2023-01-29,,143,0,181.15,,Open
PO000005,PO000005-L4,S001,P0080,2023-01-12,2023-01-29,,1060,0,9048.45,,Open
PO000005,PO000005-L5,S001,P0008,2023-01-12,2023-01-29,,1362,0,1486.08,,Open
PO000006,PO000006-L1,S001,P0014,2023-01-13,2023-02-02,2023-02-02,75,71,262.47,275.79,Completed
PO000006,PO000006-L2,S001,P0008,2023-01-13,2023-02-02,2023-02-02,854,785,1443.31,1481.43,Completed
PO000006,PO000006-L3,S001,P0108,2023-01-13,2023-02-02,2023-02-02,1484,1367,376.45,395.5,Completed
PO000006,PO000006-L4,S001,P0029,2023-01-13,2023-02-02,2023-02-02,1212,972,2122.21,1987.2,Completed
PO000006,PO000006-L5,S001,P0080,2023-01-13,2023-02-02,2023-02-02,421,372,8952.83,8990.11,Completed
PO000006,PO000006-L6,S001,P0138,2023-01-13,2023-02-02,2023-02-02,594,529,183.89,182.22,Completed
PO000006,PO000006-L7,S001,P0197,2023-01-13,2023-02-02,2023-02-02,1267,1126,182.37,203.01,Completed
PO000007,PO000007-L1,S001,P0108,2023-01-15,2023-02-02,2023-02-01,912,782,372.47,406.78,Completed
PO000007,PO000007-L2,S001,P0014,2023-01-15,2023-02-02,2023-02-01,1422,1285,262.21,267.07,Completed
PO000007,PO000007-L3,S001,P0080,2023-01-15,2023-02-02,2023-02-01,936,718,9062.97,9395.51,Completed
PO000008,PO000008-L1,S001,P0080,2023-01-18,2023-02-11,2023-02-18,963,843,8795.32,10139.3,Completed
PO000008,PO000008-L2,S001,P0019,2023-01-18,2023-02-11,2023-02-18,448,383,1357.85,1380.33,Completed
PO000008,PO000008-L3,S001,P0029,2023-01-18,2023-02-11,2023-02-18,774,654,2144.11,2140.25,Completed
PO000008,PO000008-L4,S001,P0108,2023-01-18,2023-02-11,2023-02-18,1234,1131,372.58,408.41,Completed
PO000008,PO000008-L5,S001,P0014,2023-01-18,2023-02-11,2023-02-18,181,156,265.25,264.98,Completed
PO000008,PO000008-L6,S001,P0197,2023-01-18,2023-02-11,2023-02-18,501,424,175.87,165.15,Completed
PO000008,PO000008-L7,S001,P0008,2023-01-18,2023-02-11,2023-02-18,1132,1038,1424.66,1455.2,Completed
PO000009,PO000009-L1,S001,P0108,2023-01-19,2023-02-07,2023-02-06,512,468,375.58,367.05,Completed
PO000009,PO000009-L2,S001,P0197,2023-01-19,2023-02-07,2023-01-16,554,497,182.21,173.26,Completed
PO000009,PO000009-L3,S001,P0008,2023-01-19,2023-02-07,2023-02-06,1292,1107,1449.35,1465.98,Completed
PO000009,PO000009-L4,S001,P0029,2023-01-19,2023-02-07,2023-02-06,806,676,2114.97,2239.02,Completed
PO000009,PO000009-L5,S001,P0080,2023-01-19,2023-02-07,2023-02-06,184,173,8884.3,8405.5,Completed
PO000009,PO000009-L6,S001,P0019,2023-01-19,2023-02-07,2023-02-06,413,336,1337.44,1359.05,Completed
PO000010,PO000010-L1,S001,P0108,2023-01-21,2023-02-08,2023-02-09,1148,983,381.61,384.08,Completed
PO000010,PO000010-L2,S001,P0138,2023-01-21,2023-02-08,2023-02-09,943,877,192.35,180.12,Completed
PO000011,PO000011-L1,S001,P0029,2023-01-22,2023-02-14,2023-02-13,718,566,2052.26,1885.61,Completed
PO000011,PO000011-L2,S001,P0008,2023-01-22,2023-02-14,2023-02-13,1069,964,1433.54,1488.14,Completed
PO000011,PO000011-L3,S001,P0138,2023-01-22,2023-02-14,2023-02-13,464,399,187.39,181.42,Completed
PO000011,PO000011-L4,S001,P0014,2023-01-22,2023-02-14,2023-02-13,550,464,252.06,269.65,Completed
PO000012,PO000012-L1,S001,P0197,2023-01-24,2023-02-12,2023-02-12,315,240,181.91,177.26,Completed
PO000012,PO000012-L2,S001,P0014,2023-01-24,2023-02-12,2023-02-12,747,593,262.57,276.03,Completed
PO000013,PO000013-L1,S001,P0008,2023-01-25,2023-02-12,2023-02-10,924,907,1468.92,1564.95,Completed
PO000014,PO000014-L1,S001,P0138,2023-01-27,2023-02-16,2023-02-24,1380,1223,183.77,170.42,Completed
PO000014,PO000014-L2,S001,P0019,2023-01-27,2023-02-16,2023-02-24,898,732,1360.28,1336.4,Completed
PO000014,PO000014-L3,S001,P0008,2023-01-27,2023-02-16,2023-02-24,779,722,1480.55,1447.46,Completed
PO000014,PO000014-L4,S001,P0014,2023-01-27,2023-02-16,2023-02-24,1445,1461,259.11,318.83,Completed
PO000014,PO000014-L5,S001,P0080,2023-01-27,2023-02-16,2023-02-24,1037,862,8572.41,8516.33,Completed
PO000014,PO000014-L6,S001,P0197,2023-01-27,2023-02-16,2023-02-24,568,-1,181.5,194.07,Completed
PO000014,PO000014-L7,S001,P0029,2023-01-27,2023-02-16,2023-02-24,493,356,2103.05,2013.16,Completed
PO000015,PO000015-L1,S001,P0008,2023-01-28,2023-02-16,,1093,0,1481.91,,Open
PO000015,PO000015-L2,S001,P0029,2023-01-28,2023-02-16,,275,0,2091.05,,Open
PO000015,PO000015-L3,S001,P0138,2023-01-28,2023-02-16,,1422,0,186.79,,Open
PO000016,PO000016-L1,S001,P0138,2023-01-31,2023-02-22,2023-02-21,1272,1125,190.02,173.13,Completed
PO000016,PO000016-L2,S001,P0029,2023-01-31,2023-02-22,2023-02-21,973,825,2080.31,2088.01,Completed
PO000017,PO000017-L1,S001,P0197,2023-02-01,2023-02-21,2023-02-24,862,745,180.81,175.15,Completed
PO000017,PO000017-L2,S001,P0029,2023-02-01,2023-02-21,2023-02-24,1136,899,2112.2,2568.4,Completed
PO000017,PO000017-L3,S001,P0008,2023-02-01,2023-02-21,2023-02-24,1325,1145,1425.59,1408.12,Completed
PO000017,PO000017-L4,S001,P0108,2023-02-01,2023-02-21,2023-02-24,930,899,376.14,364.61,Completed
PO000017,PO000017-L5,S001,P0019,2023-02-01,2023-02-21,2023-02-24,288,280,1310.05,1311.49,Completed
PO000017,PO000017-L6,S001,P0080,2023-02-01,2023-02-21,2023-02-24,71,61,8793.73,9049.72,Completed
PO000018,PO000018-L1,S001,P0019,2023-02-03,2023-02-23,2023-02-22,115,100,1345.02,1292.22,Completed
PO000018,PO000018-L2,S001,P0138,2023-02-03,2023-02-23,2023-02-22,1125,936,188.8,185.83,Completed
PO000019,PO000019-L1,S001,P0138,2023-02-06,2023-02-27,2023-03-14,575,525,191.51,190.58,Completed
PO000020,PO000020-L1,S001,P0008,2023-02-07,2023-02-27,2023-03-02,546,508,1415.44,1470.92,Completed
PO000020,PO000020-L2,S001,P0029,2023-02-07,2023-02-27,2023-03-02,584,506,2048.18,2100.65,Completed
PO000020,PO000020-L3,S001,P0108,2023-02-07,2023-02-27,2023-03-02,1235,1047,380.32,366.67,Completed
PO000020,PO000020-L4,S001,P0080,2023-02-07,2023-02-27,2023-03-02,509,446,9061.88,10920.23,Completed
PO000020,PO000020-L5,S001,P0014,2023-02-07,2023-02-27,2023-03-02,266,252,250.4,242.15,Completed
PO000020,PO000020-L6,S001,P0197,2023-02-07,2023-02-27,2023-03-02,1228,1089,173.81,177.85,Completed
PO000020,PO000020-L7,S001,P0138,2023-02-07,2023-02-27,2023-03-02,891,821,184.93,199.37,Completed
PO000021,PO000021-L1,S001,P0019,2023-02-10,2023-03-01,2023-02-28,1141,907,1333.93,1313.09,Completed
PO000021,PO000021-L2,S001,P0108,2023-02-10,2023-03-01,2023-02-28,686,644,382.22,371.5,Completed
PO000021,PO000021-L3,S001,P0029,2023-02-10,2023-03-01,2023-02-28,976,891,2087.01,2064.87,Completed
PO000021,PO000021-L4,S001,P0138,2023-02-10,2023-03-01,2023-02-28,763,659,185.78,193.77,Completed
PO000022,PO000022-L1,S001,P0080,2023-02-11,2023-03-04,,672,0,8553.03,,Cancelled
PO000022,PO000022-L2,S001,P0008,2023-02-11,2023-03-04,,1406,0,1479.49,,Cancelled
PO000022,PO000022-L3,S001,P0108,2023-02-11,2023-03-04,,149,0,371.17,,Cancelled
PO000022,PO000022-L4,S001,P0029,2023-02-11,2023-03-04,,1300,0,2038.38,,Cancelled
PO000022,PO000022-L5,S001,P0019,2023-02-11,2023-03-04,,1441,0,1346.0,,Cancelled
PO000023,PO000023-L1,S001,P0008,2023-02-13,2023-03-06,2023-03-12,585,504,1467.17,1429.84,Completed
PO000023,PO000023-L2,S001,P0014,2023-02-13,2023-03-06,2023-03-12,737,638,264.95,271.37,Completed
PO000024,PO000024-L1,S001,P0197,2023-02-15,2023-03-03,2023-03-02,410,367,173.9,179.89,Completed
PO000024,PO000024-L2,S001,P0014,2023-02-15,2023-03-03,2023-03-02,227,192,263.63,278.44,Completed
PO000024,PO000024-L3,S001,P0029,2023-02-15,2023-03-03,2023-03-02,284,258,2115.32,2083.16,Completed
PO000024,PO000024-L4,S001,P0080,2023-02-15,2023-03-03,2023-03-02,957,898,8942.86,9160.27,Completed
PO000024,PO000024-L5,S001,P0008,2023-02-15,2023-03-03,2023-03-02,609,510,1476.65,1661.61,Completed
PO000024,PO000024-L6,S001,P0138,2023-02-15,2023-03-03,2023-03-02,1095,929,183.29,192.26,Completed
PO000025,PO000025-L1,S001,P0019,2023-02-16,2023-03-04,2023-03-03,1379,1333,1317.13,1339.09,Completed
PO000026,PO000026-L1,S001,P0197,2023-02-18,2023-03-10,2023-03-08,220,187,180.71,167.97,Completed
PO000027,PO000027-L1,S001,P0029,2023-02-20,2023-03-10,2023-03-16,320,287,2110.15,2334.89,Completed
PO000027,PO000027-L2,S001,P0108,2023-02-20,2023-03-10,2023-03-16,1081,916,366.75,367.14,Completed
PO000027,PO000027-L3,S001,P0138,2023-02-20,2023-03-10,2023-03-16,768,651,184.29,184.4,Completed
PO000027,PO000027-L4,S001,P0019,2023-02-20,2023-03-10,2023-03-16,1406,1225,1336.29,1324.95,Completed
PO000027,PO000027-L5,S001,P0197,2023-02-20,2023-03-10,2023-03-16,1464,1326,176.94,193.38,Completed
PO000027,PO000027-L6,S001,P0008,2023-02-20,2023-03-10,2023-03-16,1036,835,1427.97,1423.49,Completed
PO000027,PO000027-L7,S001,P0014,2023-02-20,2023-03-10,2023-03-16,578,521,258.98,240.91,Completed
PO000028,PO000028-L1,S001,P0014,2023-02-21,2023-03-12,2023-03-10,587,485,251.84,238.73,Completed
PO000028,PO000028-L2,S001,P0008,2023-02-21,2023-03-12,2023-03-10,1433,1175,1494.48,1411.59,Completed
PO000028,PO000028-L3,S001,P0029,2023-02-21,2023-03-12,2023-03-10,1366,1130,2037.68,2085.65,Completed
PO000028,PO000028-L4,S001,P0019,2023-02-21,2023-03-12,2023-03-10,147,141,1350.35,1378.63,Completed
PO000029,PO000029-L1,S001,P0014,2023-02-24,2023-03-09,2023-03-11,675,582,258.05,257.26,Completed
PO000029,PO000029-L2,S001,P0008,2023-02-24,2023-03-09,2023-03-11,1090,934,1440.41,1452.81,Completed
PO000030,PO000030-L1,S001,P0080,2023-02-26,2023-03-17,2023-03-29,319,279,8895.54,9075.15,Completed
PO000030,PO000030-L2,S001,P0197,2023-02-26,2023-03-17,2023-02-23,1423,1306,180.74,187.65,Completed
PO000030,PO000030-L3,S001,P0138,2023-02-26,2023-03-17,2023-03-29,561,486,191.76,182.11,Completed
PO000030,PO000030-L4,S001,P0108,2023-02-26,2023-03-17,2023-03-29,691,628,375.53,387.61,Completed
PO000030,PO000030-L5,S001,P0014,2023-02-26,2023-03-17,2023-03-29,637,593,253.41,255.65,Completed
PO000031,PO000031-L1,S001,P0014,2023-02-27,2023-03-20,2023-03-19,901,715,254.59,243.1,Completed
PO000031,PO000031-L2,S001,P0080,2023-02-27,2023-03-20,2023-03-19,588,527,8758.06,9139.68,Completed
PO000031,PO000031-L3,S001,P0108,2023-02-27,2023-03-20,2023-03-19,1014,778,366.27,384.46,Completed
PO000032,PO000032-L1,S001,P0029,2023-02-28,2023-03-17,2023-03-16,381,331,2122.04,2017.91,Completed
PO000032,PO000032-L2,S001,P0014,2023-02-28,2023-03-17,2023-03-16,1340,1100,258.3,244.71,Completed
PO000032,PO000032-L3,S001,P0008,2023-02-28,2023-03-17,2023-03-16,597,513,1484.17,1433.97,Completed
PO000032,PO000032-L4,S001,P0019,2023-02-28,2023-03-17,2023-03-16,931,855,1342.98,1286.49,Completed
PO000033,PO000033-L1,S001,P0197,2023-03-03,2023-03-23,2023-03-24,990,869,175.59,181.22,Completed
PO000033,PO000033-L2,S001,P0138,2023-03-03,2023-03-23,2023-03-24,501,404,188.59,185.36,Completed
PO000033,PO000033-L3,S001,P0008,2023-03-03,2023-03-23,2023-03-24,88,81,1444.95,1360.71,Completed
